Vehicle,AllCoverages,Collision,PropertyDamage,Comprehensive,Pip,MedPay,BodilyInjury
Mercedes-Benz C class AMG convertible 4WD,,57,,77.0,,,
Mercedes-Benz C class convertible,,30,-31.0,70.0,,,
Mercedes-Benz C class convertible 4WD,,-12,-66.0,35.0,,,
Mercedes-Benz CLA class 4dr,,73,8.0,34.0,33.0,,24.0
Mercedes-Benz CLA class 4dr 4WD,,79,-5.0,70.0,44.0,,
Mercedes-Benz CLA class AMG 4dr 4WD,,141,-17.0,141.0,,,
Tesla Model 3 electric 4dr,14.0,58,-4.0,-10.0,1.0,9.0,-10.0
Tesla Model 3 electric 4dr 4WD,8.0,60,-17.0,9.0,-15.0,-13.0,-25.0
Volvo S60 4dr,,-3,-8.0,-4.0,-10.0,,
Volvo S60 4dr 4WD,,6,-19.0,10.0,-29.0,,
Volvo S60 plug-in hybrid 4dr 4WD,,15,,-29.0,,,
Audi A6 4dr 4WD,,57,-24.0,84.0,-31.0,,
Audi A6 Allroad station wagon 4WD,,21,-43.0,74.0,,,
Audi A7 4dr 4WD,,100,-3.0,37.0,,,
Audi RS6 station wagon 4WD,,137,,119.0,,,
Audi RS7 4dr 4WD,,215,,234.0,,,
Audi S6 4dr 4WD,,98,,125.0,,,
Audi S7 4dr 4WD,,170,,201.0,,,
BMW 5 series 4dr,26.0,64,-8.0,72.0,-23.0,41.0,-7.0
BMW 5 series 4dr 4WD,,62,-7.0,122.0,-18.0,,
BMW 5 series plug-in hybrid 4dr,,61,37.0,61.0,,,
BMW 5 series plug-in hybrid 4dr 4WD,,63,,50.0,,,
BMW 8 series 4dr,,181,25.0,179.0,,,
BMW 8 series 4dr 4WD,,131,,289.0,,,
BMW 8 series convertible,,56,,,,,
BMW M5 4dr 4WD,,406,59.0,274.0,,,
BMW M550xi 4dr 4WD,,130,3.0,190.0,-25.0,,
BMW M8 2dr 4WD,,586,,337.0,,,
BMW M8 4dr 4WD,,599,,609.0,,,
BMW M8 convertible 4WD,,292,,508.0,,,
BMW M850xi 2dr 4WD,,148,,484.0,,,
BMW M850xi 4dr 4WD,,370,26.0,433.0,,,
BMW M850xi convertible 4WD,,129,,288.0,,,
Genesis G70 4dr 2WD/4WD,8.0,41,-8.0,29.0,11.0,-1.0,-32.0
Genesis G80 4dr 2WD/4WD,,45,-5.0,57.0,-7.0,,
Jaguar XF 4dr,,79,,,,,
Jaguar XF 4dr 4WD,,64,,101.0,,,
Lexus LC 500 2dr,,47,,92.0,,,
Lexus LC 500 convertible,,92,-39.0,160.0,,,
Lexus RC 300 2dr,,39,,-26.0,,,
Lexus RC 300 2dr 4WD,,34,,13.0,,,
Lexus RC 350 2dr,,46,-15.0,25.0,,,
Lexus RC 350 2dr 4WD,,51,,0.0,,,
Lexus RC-F 2dr,,150,,,,,
Lucid Air electric 4dr 4WD,,300,,,,,
Maserati Ghibli 4dr,,174,,253.0,,,
Maserati Ghibli 4dr 4WD,,154,,122.0,,,
Mercedes-Benz CLS class 4dr 4WD,,131,,136.0,,,
Mercedes-Benz E class 2dr,,81,-35.0,35.0,,,
Mercedes-Benz E class 2dr 4WD,,113,-24.0,77.0,,,
Mercedes-Benz E class 4dr,28.0,58,-12.0,61.0,7.0,27.0,12.0
Mercedes-Benz E class 4dr 4WD,,60,-19.0,75.0,-11.0,,
Mercedes-Benz E class AMG 2dr 4WD,,237,,,,,
Mercedes-Benz E class AMG 4dr 4WD,,181,13.0,190.0,,,
Mercedes-Benz E class AMG convertible 4WD,,75,,165.0,,,
Mercedes-Benz E class convertible,,72,-24.0,,,,
